64 100
97 33 0
57 81 10
1 33 15
55 57 23
29 37 23
21 39 24
93 37 17
5 91 1
25 11 4
47 37 2
87 25 5
67 65 18
71 89 9
67 15 8
45 79 23
71 57 13
29 1 4
59 79 18
93 83 16
47 41 26
51 41 16
23 93 4
87 95 23
39 45 8
45 7 26
85 51 16
35 93 5
47 79 2
59 91 21
83 51 23
49 65 8
21 55 5
51 21 8
69 43 26
37 41 12
37 95 8
5 71 3
37 47 8
83 73 19
17 71 16
5 71 2
81 17 3
59 33 17
63 87 7
21 77 5
71 51 8
21 17 4
9 7 12
65 43 19
25 63 19
13 57 26
47 43 24
77 9 5
57 55 8
21 33 22
27 59 9
83 9 18
63 69 19
9 35 15
25 55 5
33 3 11
53 11 12
51 49 54
9 23 8
