61 100
61 37 0
93 57 23
15 67 17
23 43 12
53 5 6
13 75 22
29 73 3
47 37 24
23 71 24
67 45 11
21 49 7
93 43 12
67 13 8
69 25 14
53 35 20
25 39 16
85 69 16
81 27 4
77 79 9
45 43 18
31 75 14
49 99 10
63 9 19
47 37 22
33 47 19
39 69 9
49 3 18
49 87 2
87 39 18
37 91 11
19 33 19
97 35 18
31 5 15
35 25 4
79 61 12
73 73 8
35 95 18
5 43 12
19 45 72
71 39 2
35 63 5
27 73 14
31 21 11
47 9 19
87 45 16
1 49 19
1 77 3
63 73 12
79 71 10
21 55 20
65 23 7
65 47 13
97 23 16
23 71 23
5 81 22
53 27 18
57 85 6
89 23 12
51 65 27
13 49 9
91 41 15
