69 100
59 44 0
9 23 2
84 68 1
36 93 6
87 9 9
34 16 16
40 98 5
72 43 3
0 60 9
64 90 12
11 8 1
46 7 1
33 54 18
23 84 10
67 18 5
34 93 5
19 25 9
14 9 16
70 64 12
58 50 6
5 78 6
95 39 20
38 54 23
50 73 39
48 46 17
64 4 8
39 28 2
79 30 13
61 36 17
28 50 3
51 91 2
68 59 7
14 9 23
94 87 10
68 29 7
12 91 12
2 22 20
25 16 13
11 57 21
3 51 25
13 52 5
9 76 4
58 18 13
40 39 12
32 89 23
9 92 19
36 14 10
82 13 7
10 25 15
96 97 5
20 21 15
40 91 13
33 31 30
72 74 15
41 24 7
90 20 9
4 44 23
54 22 8
43 59 5
3 70 8
94 16 25
94 54 12
14 40 25
37 0 24
88 55 8
80 25 22
37 64 7
87 47 24
18 68 18
