80 100
92 92 0
88 58 24
70 6 22
57 59 23
0 98 5
61 38 11
65 22 23
91 52 26
59 2 9
3 54 23
95 38 9
80 28 14
66 42 16
79 74 12
99 25 2
20 43 2
40 3 6
50 42 20
97 0 26
21 19 12
36 21 15
100 61 13
11 85 26
69 35 17
69 22 7
29 35 12
14 9 4
50 33 4
89 17 20
57 44 10
60 25 9
48 42 2
17 93 9
21 50 1
77 18 2
2 4 2
63 83 12
68 6 14
41 95 23
48 54 21
98 73 13
26 38 13
69 76 23
40 1 3
65 41 6
14 86 23
32 39 11
14 24 2
96 5 7
82 98 13
23 85 10
63 69 3
87 19 6
56 75 13
15 63 2
10 45 14
7 30 7
31 11 21
36 93 7
50 31 22
49 52 13
39 10 22
76 40 18
83 34 22
33 51 6
0 15 2
52 82 11
52 82 5
46 6 9
3 26 9
46 80 5
94 30 12
26 76 2
75 92 12
57 51 19
34 21 6
28 80 14
59 66 2
51 16 2
87 11 24
