63 100
91 93 0
7 5 4
27 91 18
21 47 22
33 11 14
19 99 5
59 25 9
69 79 7
11 73 20
21 35 19
59 45 7
99 81 18
71 47 20
53 83 2
87 1 11
79 67 10
59 65 5
67 21 21
27 1 20
81 93 1
59 89 15
95 23 15
73 25 14
41 25 19
3 65 22
59 83 21
83 97 22
5 83 6
71 35 24
37 97 14
29 93 14
19 21 2
83 13 15
97 67 21
31 83 15
65 17 6
19 63 23
59 23 14
17 25 26
45 27 15
89 7 15
19 41 23
23 39 7
23 21 22
83 61 26
11 93 20
17 11 3
35 11 2
21 59 15
21 69 2
71 13 21
63 13 12
49 21 4
83 31 10
41 97 23
85 15 4
77 73 24
57 1 17
83 11 2
1 75 20
45 71 18
41 55 19
45 13 8
