60 100
27 93 0
33 27 16
29 39 2
7 81 7
1 59 11
49 9 9
21 53 17
79 89 21
81 83 23
85 11 10
45 9 6
7 65 19
95 27 18
81 85 20
37 81 13
69 69 5
15 95 11
89 75 24
33 93 2
57 83 3
11 95 1
3 57 5
45 11 20
43 61 23
35 43 24
19 83 18
83 69 19
85 77 2
19 39 17
83 87 17
1 13 9
15 39 11
83 17 2
41 97 6
31 61 9
59 69 5
29 15 9
93 83 2
63 97 14
65 57 19
15 69 11
31 97 21
57 9 20
85 37 21
21 29 18
53 11 48
15 77 1
41 69 17
45 17 42
13 25 2
63 57 4
95 5 24
55 91 18
3 31 21
47 7 11
61 69 9
85 35 18
89 81 22
45 47 9
65 93 23
