63 100
76 75 0
60 14 11
46 5 20
91 14 26
70 95 17
86 31 5
20 0 17
41 55 1
21 15 15
46 1 16
95 45 22
16 89 2
41 1 22
60 94 25
55 25 20
71 41 20
39 35 21
61 70 26
80 36 12
100 26 5
65 85 11
40 51 5
19 71 21
34 50 17
36 61 12
69 50 12
61 94 15
19 11 21
51 91 12
61 54 2
76 90 17
41 75 16
35 100 15
1 40 26
15 91 12
21 11 22
79 81 16
34 36 21
74 99 16
75 14 2
65 54 6
55 10 2
100 6 6
99 91 10
25 86 11
75 16 1
30 45 63
21 85 10
75 80 21
71 35 7
56 81 1
25 76 6
85 76 26
60 34 17
41 44 10
6 55 25
60 54 25
40 96 25
20 71 16
94 45 5
31 41 22
40 49 17
56 80 6
