65 100
25 51 0
35 7 12
93 75 24
53 95 16
51 81 7
51 55 9
1 67 20
9 23 10
75 7 18
15 97 26
79 5 17
9 19 2
39 1 11
47 1 9
33 97 12
27 83 11
83 79 12
17 59 23
47 19 7
57 9 1
87 41 26
55 25 10
21 91 9
21 13 22
67 1 21
59 21 17
1 75 2
33 85 15
25 21 16
45 29 14
63 77 23
1 77 24
77 41 2
35 11 12
9 77 18
61 87 5
59 91 19
63 79 15
97 67 8
9 45 6
93 21 14
83 71 13
95 57 5
31 69 24
77 17 25
63 57 2
3 63 8
11 69 14
7 9 2
37 65 13
75 83 10
15 53 6
69 5 6
69 27 24
5 19 21
49 31 20
77 17 24
15 7 4
91 39 19
79 17 14
67 75 23
93 51 2
25 33 16
9 19 23
3 65 14
